,USER_DEFINED_ID,REAGENT_ACCESSION,name,description,manufacturer,catalog_number
124,PMID34230917_reagentID-03,ESR30219,Receptor Binding Domain (RBD) | Full Length Spike Trimer,,components from multiple manufacturers,
125,PMID34802457_reagentID-01,ESR30223,Reagents not curated,Reagents not curated for this experiment,na,na
126,PMID34230917_reagentID-04,ESR30220,Receptor Binding Domain (RBD) | Full Length Spike Trimer,,components from multiple manufacturers,
127,PMID34230917_reagentID-05,ESR30221,Receptor Binding Domain (RBD) | Full Length Spike Trimer,,components from multiple manufacturers,
128,PMID34230917_reagentID-06,ESR30222,Receptor Binding Domain (RBD) | Full Length Spike Trimer,,components from multiple manufacturers,
129,PMID34151306_reagents_not_curated,ESR30224,Reagents not curated,Reagents not curated for this experiment,na,na
130,PMID34151306_reagentID-02,ESR30225,Full Length Spike Trimer,,components from multiple manufacturers,
131,PMID34151306_reagentID-03,ESR30226,S1 | S2 | Nucleocapsid | Receptor Binding Domain (RBD),,components from multiple manufacturers,
132,PMID33743211_reagents_not_curated,ESR30227,Reagents not curated,Reagents not curated for this experiment,na,na
133,PMID34100011_reagents_not_curated,ESR30228,Reagents not curated,Reagents not curated for this experiment,na,na
134,PMID34145263_reagentID-01,ESR30229,Reagents not curated,Reagents not curated for this experiment,na,na
135,PMID34145263_reagentID-02,ESR30230,Reagents not curated,Reagents not curated for this experiment,na,na
136,PMID34145263_reagentID-03,ESR30231,Full Length Spike Trimer | Receptor Binding Domain (RBD) | | N-terminal Domain (NTD),,components from multiple manufacturers,
137,PMID34145263_reagentID-04,ESR30232,Full Length Spike Trimer | Receptor Binding Domain (RBD) | | N-terminal Domain (NTD),,components from multiple manufacturers,
138,PMID34145263_reagentID-05,ESR30233,Full Length Spike Trimer | Receptor Binding Domain (RBD) | | N-terminal Domain (NTD),,components from multiple manufacturers,
139,PMID34145263_reagentID-06,ESR30234,Full Length Spike Trimer | Receptor Binding Domain (RBD) | | N-terminal Domain (NTD),,components from multiple manufacturers,
140,PMID33622794_reagents_not_curated,ESR30235,Reagents not curated,Reagents not curated for this experiment,na,na
141,PMID33846272_reagents_not_curated,ESR30236,Reagents not curated,Reagents not curated for this experiment,na,na
142,PMID33846272_reagentID-03,ESR30237,Nucleocapsid | Receptor Binding Domain (RBD) | Full Length Spike Trimer,,components from multiple manufacturers,
143,PMID34877479_reagentID-01,ESR30238,Reagents not curated,Reagents not curated for this experiment,na,na
144,PMID34877479_reagentID-02,ESR30239,Reagents not curated,Reagents not curated for this experiment,na,na
145,PMID34835131_reagentID-01,ESR30240,Reagents not curated,Reagents not curated for this experiment,na,na
146,PMID34835131_reagentID-02,ESR30241,Full Length Spike Trimer | Nucleocapsid | Receptor Binding Domain (RBD) | S2,,components from multiple manufacturers,
147,PMID34835131_reagentID-03,ESR30242,Full Length Spike Trimer | Nucleocapsid | Receptor Binding Domain (RBD) | S2,,components from multiple manufacturers,
148,PMID34353890_reagents_not_curated,ESR30243,Reagents not curated,Reagents not curated for this experiment,na,na
149,PMID33478949_reagentID-01,ESR30244,other,,components from multiple manufacturers,
150,PMID33478949_reagentID-02,ESR30245,other,,components from multiple manufacturers,
151,PMID33478949_reagentID-03,ESR30246,other,,components from multiple manufacturers,
